Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+1D7E8	𝟨	\sans6	Mathematical Sans-Serif Digit Six
U+1D7E9	𝟩	\sans7	Mathematical Sans-Serif Digit Seven
U+1D7EA	𝟪	\sans8	Mathematical Sans-Serif Digit Eight
U+1D7EB	𝟫	\sans9	Mathematical Sans-Serif Digit Nine
U+1D7EC	𝟬	\bsans0	Mathematical Sans-Serif Bold Digit Zero
U+1D7ED	𝟭	\bsans1	Mathematical Sans-Serif Bold Digit One
U+1D7EE	𝟮	\bsans2	Mathematical Sans-Serif Bold Digit Two
U+1D7EF	𝟯	\bsans3	Mathematical Sans-Serif Bold Digit Three
U+1D7F0	𝟰	\bsans4	Mathematical Sans-Serif Bold Digit Four
U+1D7F1	𝟱	\bsans5	Mathematical Sans-Serif Bold Digit Five
U+1D7F2	𝟲	\bsans6	Mathematical Sans-Serif Bold Digit Six
U+1D7F3	𝟳	\bsans7	Mathematical Sans-Serif Bold Digit Seven
U+1D7F4	𝟴	\bsans8	Mathematical Sans-Serif Bold Digit Eight
U+1D7F5	𝟵	\bsans9	Mathematical Sans-Serif Bold Digit Nine
U+1D7F6	𝟶	\tt0	Mathematical Monospace Digit Zero
U+1D7F7	𝟷	\tt1	Mathematical Monospace Digit One
U+1D7F8	𝟸	\tt2	Mathematical Monospace Digit Two
U+1D7F9	𝟹	\tt3	Mathematical Monospace Digit Three
U+1D7FA	𝟺	\tt4	Mathematical Monospace Digit Four
U+1D7FB	𝟻	\tt5	Mathematical Monospace Digit Five
U+1D7FC	𝟼	\tt6	Mathematical Monospace Digit Six
U+1D7FD	𝟽	\tt7	Mathematical Monospace Digit Seven
U+1D7FE	𝟾	\tt8	Mathematical Monospace Digit Eight
U+1D7FF	𝟿	\tt9	Mathematical Monospace Digit Nine
U+00B0	°	\deg	Degree Sign
