Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+2164	Ⅴ	\RM5	Roman Numeral Five
U+2165	Ⅵ	\RM6	Roman Numeral Six
U+2166	Ⅶ	\RM7	Roman Numeral Seven
U+2167	Ⅷ	\RM8	Roman Numeral Eight
U+2168	Ⅸ	\RM9	Roman Numeral Nine
U+2169	Ⅹ	\RM10	Roman Numeral Ten
U+216A	Ⅺ	\RM11	Roman Numeral Eleven
U+216B	Ⅻ	\RM12	Roman Numeral Twelve
U+216C	Ⅼ	\RM50	Roman Numeral Fifty
U+216D	Ⅽ	\RM100	Roman Numeral One Hundred
U+216E	Ⅾ	\RM500	Roman Numeral Five Hundred
U+216F	Ⅿ	\RM1000	Roman Numeral One Thousand
U+2170	ⅰ	\rm1	Small Roman Numeral One
U+2171	ⅱ	\rm2	Small Roman Numeral Two
U+2172	ⅲ	\rm3	Small Roman Numeral Three
U+2173	ⅳ	\rm4	Small Roman Numeral Four
U+2174	ⅴ	\rm5	Small Roman Numeral Five
U+2175	ⅵ	\rm6	Small Roman Numeral Six
U+2176	ⅶ	\rm7	Small Roman Numeral Seven
U+2177	ⅷ	\rm8	Small Roman Numeral Eight
U+2178	ⅸ	\rm9	Small Roman Numeral Nine
U+2179	ⅹ	\rm10	Small Roman Numeral Ten
U+217A	ⅺ	\rm11	Small Roman Numeral Eleven
U+217B	ⅻ	\rm12	Small Roman Numeral Twelve
U+217C	ⅼ	\rm50	Small Roman Numeral Fifty
U+217D	ⅽ	\rm100	Small Roman Numeral One Hundred
U+217E	ⅾ	\rm500	Small Roman Numeral Five Hundred
U+217F	ⅿ	\rm1000	Small Roman Numeral One Thousand
