Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+2460	①	\o1	CIRCLED DIGIT ONE	1
U+2461	②	\o2	CIRCLED DIGIT TWO	2
U+2462	③	\o3	CIRCLED DIGIT THREE	3
U+2463	④	\o4	CIRCLED DIGIT FOUR	4
U+2464	⑤	\o5	CIRCLED DIGIT FIVE	5
U+2465	⑥	\o6	CIRCLED DIGIT SIX	6
U+2466	⑦	\o7	CIRCLED DIGIT SEVEN	7
U+2467	⑧	\o8	CIRCLED DIGIT EIGHT	8
U+2468	⑨	\o9	CIRCLED DIGIT NINE	9
U+2469	⑩	\o10	CIRCLED NUMBER TEN	10
U+246A	⑪	\o11	CIRCLED NUMBER ELEVEN	11
U+246B	⑫	\o12	CIRCLED NUMBER TWELVE	12
U+246C	⑬	\o13	CIRCLED NUMBER THIRTEEN	13
U+246D	⑭	\o14	CIRCLED NUMBER FOURTEEN	14
U+246E	⑮	\o15	CIRCLED NUMBER FIFTEEN	15
U+246F	⑯	\o16	CIRCLED NUMBER SIXTEEN	16
U+2470	⑰	\o17	CIRCLED NUMBER SEVENTEEN	17
U+2471	⑱	\o18	CIRCLED NUMBER EIGHTEEN	18
U+2472	⑲	\o19	CIRCLED NUMBER NINETEEN	19
U+2473	⑳	\o20	CIRCLED NUMBER TWENTY	20
U+2474	⑴	\(1)	PARENTHESIZED DIGIT ONE	1
U+2475	⑵	\(2)	PARENTHESIZED DIGIT TWO	2
U+2476	⑶	\(3)	PARENTHESIZED DIGIT THREE	3
U+2477	⑷	\(4)	PARENTHESIZED DIGIT FOUR	4
U+2478	⑸	\(5)	PARENTHESIZED DIGIT FIVE	5
U+2479	⑹	\(6)	PARENTHESIZED DIGIT SIX	6
U+247A	⑺	\(7)	PARENTHESIZED DIGIT SEVEN	7
U+247B	⑻	\(8)	PARENTHESIZED DIGIT EIGHT	8
U+247C	⑼	\(9)	PARENTHESIZED DIGIT NINE	9
U+247D	⑽	\(10)	PARENTHESIZED NUMBER TEN	10
U+247E	⑾	\(11)	PARENTHESIZED NUMBER ELEVEN	11
U+247F	⑿	\(12)	PARENTHESIZED NUMBER TWELVE	12
U+2480	⒀	\(13)	PARENTHESIZED NUMBER THIRTEEN	13
U+2481	⒁	\(14)	PARENTHESIZED NUMBER FOURTEEN	14
U+2482	⒂	\(15)	PARENTHESIZED NUMBER FIFTEEN	15
U+2483	⒃	\(16)	PARENTHESIZED NUMBER SIXTEEN	16
U+2484	⒄	\(17)	PARENTHESIZED NUMBER SEVENTEEN	17
U+2485	⒅	\(18)	PARENTHESIZED NUMBER EIGHTEEN	18
U+2486	⒆	\(19)	PARENTHESIZED NUMBER NINETEEN	19
U+2487	⒇	\(20)	PARENTHESIZED NUMBER TWENTY	20
U+2488	⒈	\1.	DIGIT ONE FULL STOP	1
U+2489	⒉	\2.	DIGIT TWO FULL STOP	2
U+248A	⒊	\3.	DIGIT THREE FULL STOP	3
U+248B	⒋	\4.	DIGIT FOUR FULL STOP	4
U+248C	⒌	\5.	DIGIT FIVE FULL STOP	5
U+248D	⒍	\6.	DIGIT SIX FULL STOP	6
U+248E	⒎	\7.	DIGIT SEVEN FULL STOP	7
U+248F	⒏	\8.	DIGIT EIGHT FULL STOP	8
U+2490	⒐	\9.	DIGIT NINE FULL STOP	9
U+2491	⒑	\10.	NUMBER TEN FULL STOP	10
U+2492	⒒	\11.	NUMBER ELEVEN FULL STOP	11
U+2493	⒓	\12.	NUMBER TWELVE FULL STOP	12
U+2494	⒔	\13.	NUMBER THIRTEEN FULL STOP	13
U+2495	⒕	\14.	NUMBER FOURTEEN FULL STOP	14
U+2496	⒖	\15.	NUMBER FIFTEEN FULL STOP	15
U+2497	⒗	\16.	NUMBER SIXTEEN FULL STOP	16
U+2498	⒘	\17.	NUMBER SEVENTEEN FULL STOP	17
U+2499	⒙	\18.	NUMBER EIGHTEEN FULL STOP	18
U+249A	⒚	\19.	NUMBER NINETEEN FULL STOP	19
U+249B	⒛	\20.	NUMBER TWENTY FULL STOP	20
U+249C	⒜	\(a)	PARENTHESIZED LATIN SMALL LETTER A	a
U+249D	⒝	\(b)	PARENTHESIZED LATIN SMALL LETTER B	b
U+249E	⒞	\(c)	PARENTHESIZED LATIN SMALL LETTER C	c
U+249F	⒟	\(d)	PARENTHESIZED LATIN SMALL LETTER D	d
U+24A0	⒠	\(e)	PARENTHESIZED LATIN SMALL LETTER E	e
U+24A1	⒡	\(f)	PARENTHESIZED LATIN SMALL LETTER F	f
U+24A2	⒢	\(g)	PARENTHESIZED LATIN SMALL LETTER G	g
U+24A3	⒣	\(h)	PARENTHESIZED LATIN SMALL LETTER H	h
U+24A4	⒤	\(i)	PARENTHESIZED LATIN SMALL LETTER I	i
U+24A5	⒥	\(j)	PARENTHESIZED LATIN SMALL LETTER J	j
U+24A6	⒦	\(k)	PARENTHESIZED LATIN SMALL LETTER K	k
U+24A7	⒧	\(l)	PARENTHESIZED LATIN SMALL LETTER L	l
U+24A8	⒨	\(m)	PARENTHESIZED LATIN SMALL LETTER M	m
U+24A9	⒩	\(n)	PARENTHESIZED LATIN SMALL LETTER N	n
U+24AA	⒪	\(o)	PARENTHESIZED LATIN SMALL LETTER O	o
U+24AB	⒫	\(p)	PARENTHESIZED LATIN SMALL LETTER P	p
U+24AC	⒬	\(q)	PARENTHESIZED LATIN SMALL LETTER Q	q
U+24AD	⒭	\(r)	PARENTHESIZED LATIN SMALL LETTER R	r
U+24AE	⒮	\(s)	PARENTHESIZED LATIN SMALL LETTER S	s
U+24AF	⒯	\(t)	PARENTHESIZED LATIN SMALL LETTER T	t
U+24B0	⒰	\(u)	PARENTHESIZED LATIN SMALL LETTER U	u
U+24B1	⒱	\(v)	PARENTHESIZED LATIN SMALL LETTER V	v
U+24B2	⒲	\(w)	PARENTHESIZED LATIN SMALL LETTER W	w
U+24B3	⒳	\(x)	PARENTHESIZED LATIN SMALL LETTER X	x
U+24B4	⒴	\(y)	PARENTHESIZED LATIN SMALL LETTER Y	y
U+24B5	⒵	\(z)	PARENTHESIZED LATIN SMALL LETTER Z	z
U+24B6	Ⓐ	\oA	CIRCLED LATIN CAPITAL LETTER A	A
U+24B7	Ⓑ	\oB	CIRCLED LATIN CAPITAL LETTER B	B
U+24B8	Ⓒ	\oC	CIRCLED LATIN CAPITAL LETTER C	C
U+24B9	Ⓓ	\oD	CIRCLED LATIN CAPITAL LETTER D	D
U+24BA	Ⓔ	\oE	CIRCLED LATIN CAPITAL LETTER E	E
U+24BB	Ⓕ	\oF	CIRCLED LATIN CAPITAL LETTER F	F
U+24BC	Ⓖ	\oG	CIRCLED LATIN CAPITAL LETTER G	G
U+24BD	Ⓗ	\oH	CIRCLED LATIN CAPITAL LETTER H	H
